,formula_label,symbol_set,subject
39,Added mass,"{c, D, F, v, ρ, p, u, t, V, d}",Physical sciences
40,Additive model,"{E, f, i, j, p, y, x, β}",Applied sciences
41,Additive state decomposition,"{p, s, P, n}",Life sciences
42,Adiabatic theorem,"{x, t, ψ}",Fields of mathematics
43,Adjoint filter,"{h, k}",Applied sciences
44,Adjunction formula,"{i, Ω, Y, I, X}",Fields of mathematics
45,Affine combination,"{i, x, n, α}",Fields of mathematics
46,Affine hull,"{i, aff, S, R, x, α, k}",Fields of mathematics
47,Affine involution,"{I, A}",Fields of mathematics
48,Affine monoid,"{m, Z, M, n}",Fields of mathematics
49,Affine q-Krawtchouk polynomials,"{A, f, K, n, q, p, x, ϕ, N}",Fields of mathematics
50,Affine term structure model,"{A, B, I, k, M, ρ, N, U}",Fields of mathematics
51,Aggregate modulus,"{g, G, j, n, P, r, x, X, deg}",Life sciences
52,Agoh–Giuga conjecture,"{p, B, mod}",Branches of philosophy
53,Air flow bench,"{H, d, V}",Applied sciences
54,Air-to-cloth ratio,"{A, v, Δ, t, V}",Professional studies
55,Airborne particulate radioactivity monitoring,{v},Political science theories
56,Akbulut cork,"{int, A, K, M, W}",Fields of mathematics
57,Albers projection,"{θ, x, sin, ρ}",Political science theories
58,Aleksandrov–Clark measure,"{H, C, D}",Fields of mathematics
59,Alexander's trick,"{x, J, t, f}",Fields of mathematics
60,Alexander–Spanier cohomology,"{i, p, f, d, x}",Cohomology theories
61,Algebraic character,"{dim, c, e, h, μ, V}",Fields of mathematics
62,Allan variance,"{y, τ, σ}",Applied sciences
63,Almost convergent sequence,"{p, ∞, L, n, x}",Fields of mathematics
64,Alpha process,"{i, A, j}",Subfields of physics
65,Alternating sign matrix,"{j, m, l, s, μ, z}",Fields of mathematics
66,Amitsur–Levitzki theorem,"{x, S, σ, n}",Fields of mathematics
67,Ampère's circuital law,{J},Subfields of physics
68,Analyticity of holomorphic functions,"{a, c, f, n, ∞, z}",WikiProjects
69,Andreotti–Norguet formula,"{∂, n, z, α, f}",Fields of mathematics
70,Andronov–Pontryagin criterion,"{x, v}",Fields of mathematics
71,Angular aperture,"{a, f, D, arctan}",Fields of mathematics
72,Anisotropy,"{Ω, d, i, n, P, v, γ}",Fields of mathematics
73,Annual percentage yield,"{A, P, Y, i, N}",Humanities
74,Antenna factor,"{A, V, E, F}",Subfields of physics
75,Antenna gain-to-noise-temperature,"{e, d, G, f, φ, π, θ, r, T, sin}",Subfields of physics
76,Apollonius point,"{a, c, b}",Fields of mathematics
77,Apollonius' theorem,"{A, C, B, D}",Fields of mathematics
78,Applied element method,"{a, E, d, K, n, T}",Glass engineering and science
79,Apply,"{Y, Z}",Duality theories
80,Apéry's constant,"{∞, ζ, n}",Life sciences
81,Archimedean circle,"{r, ρ}",Fields of mathematics
82,Archimedes' quadruplets,{r},Fields of mathematics
83,Archimedes' twin circles,"{a, b, d}",
84,Area theorem,"{a, d, H, Σ, m, π}",
85,Arf invariant of a knot,"{i, v, g, mod}",Fields of mathematics
86,Arg max,"{a, g, f, ∀, m, S, r, x, y, X}",Fields of mathematics
87,Arithmetic coding,"{i, p, log}",Applied sciences
88,Arithmetic–geometric mean,{s},Life sciences
89,Arnold tongue,"{Ω, K, n, θ, π, sin}",Life sciences
90,Arnold–Givental conjecture,"{b, H, k, L, n, φ, Z}",Fields of mathematics
91,Arrhenius equation,"{a, A, E, k, R, T, e}",Subfields of physics
92,Arterial resistivity index,"{a, e, d, i, l, o, I, s, R, t, v, y}",Applied sciences
93,Arthur–Selberg trace formula,"{γ, d, G, f, R, y, x, ϕ, Γ, ∖}",Fields of mathematics
94,Artinian ring,"{A, y, k, I, a}",Fields of mathematics
95,Artin–Mazur zeta function,"{f, n, exp, ∞, z, ζ}",Fields of mathematics
96,Artin–Schreier curve,"{y, x, p, f}",Fields of mathematics
97,Associate family,"{c, d, φ, k, ℜ, x, z, ζ}",Fields of mathematics
98,Asymptotic gain model,"{T, G, ∞}",Subfields of physics
99,Asymptotic theory,"{A, x, C, B, y}",Fields of mathematics
100,Atkinson–Stiglitz theorem,"{j, L, q, T, w, x, t}",Society
101,Atkin–Lehner theory,"{a, c, b, d, Z, N, Γ, mod}",Fields of mathematics
102,Atom probe,"{ϕ, F, e, ∇, n}",Applied sciences
103,"Atomic, molecular, and optical physics","{k, n, L, π}",Subfields of physics
104,Autocatalysis,"{A, B, τ, σ, T, α, β}",Physical sciences
105,Autocorrelation,"{cos, m, ρ, n, R, ϕ, Z}",Fields of mathematics
106,Automated Readability Index,"{e, v}",
107,Automatic basis function construction,"{P, γ, r, v}",Applied sciences
108,Autonomous consumption,"{Y, c, C, d}",Society
109,Avogadro's law,"{k, V, n}",Life sciences
110,Axial multipole moments,"{x, C, E, ∀}",Subfields of physics
111,Axiom of extensionality,"{A, X, B, ∀}",Fields of mathematics
112,Axiom of pairing,"{A, C, B, D, ∀, ∃}",Fields of mathematics
113,Axiom schema of replacement,"{A, B, ∀, ∃, n, w, φ, x}",Fields of mathematics
114,Azuma's inequality,"{X, k, c}",Fields of mathematics
115,BCMP network,"{s, D, L, N}",Applied sciences
116,BD09,"{a, cos, b, e, d, g, n, θ, s, r, t, ϕ, sin}",
117,BEST theorem,"{G, v, ec, t, w, V, deg}",Fields of mathematics
118,BET theory,"{p, c, m, v}",Environmental studies
119,Ba space,"{N, Σ, B, μ, f}",Fields of mathematics
120,Baby Monster group,{∂},
121,Background field method,"{x, ϕ, B, η}",Subfields of physics
122,Balance wheel,"{I, κ, T, π}",Applied sciences
123,Balanced budget,"{Y, I, c, T, G}",Applied sciences
124,Balanced prime,"{p, n}",Fields of mathematics
125,Balian–Low theorem,"{a, b, e, g, i, m, π, x, n}",Fields of mathematics
126,Banach manifold,"{i, φ, j, U}",Fields of mathematics
127,Banach–Alaoglu theorem,"{y, x, ∞, ρ, n}",Fields of mathematics
128,Banach–Mazur compactum,"{log, T, Y, X, GL, δ}",Fields of mathematics
129,Bapat–Beg theorem,"{a, c, b, e, d, g, f, h, ψ}",Fields of mathematics
130,Barcan formula,"{∀, ◻, x, F}",Branches of philosophy
131,Bark scale,"{e, g, F}",Branches of philosophy
132,Barnett effect,"{χ, γ, M, ω}",Subfields of physics
133,Barotropic vorticity equation,"{η, D, t}",Life sciences
134,Barratt–Priddy theorem,"{H, S, Σ, k, n}",Fields of mathematics
135,Barth–Nieto quintic,{x},Fields of mathematics
136,Bartlett's bisection theorem,"{I, c, Z, E, o}",Subfields of physics
137,Batalin–Vilkovisky algebra,"{a, b, Δ}",
138,Batchelor vortex,"{h, b, e, t}",Life sciences
139,Bateman polynomials,"{x, F}",Fields of mathematics
140,Baum–Sweet sequence,"{o, n, s, λ, t, α}",Fields of mathematics
141,Baum–Welch algorithm,"{a, A, i, j, P, t, X}",Applied sciences
142,Bayes factor,"{M, D}",Auxiliary sciences of history
143,Bayes' theorem,"{A, P, B}",Fields of mathematics
144,Bayesian average,"{i, x, C, m, n}",Auxiliary sciences of history
145,Bayesian hierarchical modeling,"{y, θ, P}",Auxiliary sciences of history
146,Bayesian inference,"{P, E, H}",Auxiliary sciences of history
147,Bayesian tool for methylation analysis,"{A, C, f, m, c, p, r, ν, ϕ}",Auxiliary sciences of history
148,Beal's conjecture,"{A, C, B, y, x, z}",
149,Beam propagation method,"{H, γ, G, ◻}",Applied sciences
150,Beatty sequence,"{B, r, n}",Life sciences
151,Beilinson regulator,"{D, H, K, n, Q, p, X}",Fields of mathematics
152,Bejan number,"{B, e, g, P, L, n, p, S, μ, T, Δ, ν}",Physical sciences
153,Bellard's formula,"{∞, n, π}",Fields of history
154,Belleville washer,"{i, k, K, g, n}",Professional studies
155,Bending stiffness,"{p, K, w}",Professional studies
156,Benford's law,"{P, log, d}",Life sciences
157,Bennett's inequality,"{Var, X, σ, i, n}",Fields of mathematics
158,Bernoulli distribution,"{q, X, p}",Life sciences
159,Bernoulli's principle,"{p, z, g, ρ, v}",Life sciences
160,Bernstein polynomial,"{x, b, ν, n}",Life sciences
161,Bessel filter,"{θ, H, s, ω, n}",Life sciences
162,Bessel's correction,"{x, n}",Life sciences
163,Bessel's inequality,"{x, k, e, ∞}",Fields of mathematics
164,Beta prime distribution,"{x, β, B, f, α}",Life sciences
165,Better-quasi-ordering,"{A, B, g, ω, f, X}",Fields of mathematics
166,Beurling–Lax theorem,"{θ, H, C, D}",Fields of mathematics
167,Bevan point,"{α, cos, γ, β}",Fields of mathematics
168,Bhabha scattering,{e},Fields of mathematics
169,Bhatia–Davis inequality,"{μ, M, m}",Auxiliary sciences of history
170,Biaxial nematic,"{p, γ, T}",Branches of biology
171,Bicoherence,"{B, F, f}",Fields of mathematics
172,Bicubic interpolation,"{a, i, j, p, y, x}",Applied sciences
173,Bidomain,"{d, g, f, k, M, r, y, x, K}",
174,Bilinear filtering,"{p, r, t, f}",Subfields of physics
175,Bimonster group,"{i, B, Z, M}",Fields of mathematics
176,Binary octahedral group,"{i, k, j}",Fields of mathematics
177,Binary tetrahedral group,"{i, k, j}",Fields of mathematics
178,Binet–Cauchy identity,"{e, d, f, v, r, w, V, Γ}",Life sciences
179,Binomial series,"{α, k, ∞, x}",Fields of mathematics
180,Binomial sum variance inequality,"{Var, p, s, Z, n}",Fields of mathematics
181,Birks' Law,"{B, E, d, k, L, x}",Life sciences
182,Birnbaum–Orlicz space,"{log, f, n, R, ∞, x, d}",Fields of mathematics
183,Bishop–Gromov inequality,"{i, K, R, c, n}",Fields of mathematics
184,Bismut connection,"{Γ, S, T, α, β, γ}",Fields of mathematics
185,Bispherical coordinates,"{a, cos, τ, σ, cosh, sinh, y, x, ϕ, z, sin}",Life sciences
186,Bivector,"{a, c, b}",Fields of mathematics
187,Black's equation,"{A, e, F, k, j, M, n, Q, T}",Applied sciences
188,Black–Derman–Toy model,"{d, ln, σ, θ, r, t, W}",Professional studies
189,Blade Element Momentum Theory,"{I, ∞, R, gr, n}",
190,Blahut–Arimoto algorithm,"{x, t, p}",Fields of mathematics
191,Blake number,"{B, D, h, ρ, μ, u, ϵ}",Life sciences
192,Bland–Altman plot,"{y, x, S}",Life sciences
193,Blaschke product,"{a, n, ∞}",Fields of mathematics
194,Bloch equations,"{B, d, M, t, x, γ, T}",Life sciences
195,Bloch wave,"{e, ψ, i, k, r, u}",Subfields of physics
196,Bloom filter,{m},Applied sciences
197,Bogdanov-Takens bifurcation,"{Q, U, Δ, T, A}",
198,Bohr compactification,"{b, G, h, o, r, B}",Fields of mathematics
199,Bolometric correction,"{C, B, M, l, o, b, V}",Branches of philosophy
200,Bolt thrust,"{A, a, b, e, F, i, m, l, o, n, P, r, t, x}",
201,Boltzmann constant,"{k, R, N}",Fields of mathematics
202,Bond valence method,"{V, v}",Physical sciences
203,Bondareva–Shapley theorem,"{α, S, N, ∅, v}",Life sciences
204,Bondy's theorem,"{X, k}",Fields of mathematics
205,Bony–Brezis theorem,"{a, X, C, b}",Fields of mathematics
206,Boolean satisfiability algorithm heuristics,"{f, i, H, K, V, ℓ, arg, y, x, γ}",Fields of mathematics
207,Booth's multiplication algorithm,"{′, M}",
208,Borel right process,"{E, f, i, j, o, n, r, Y, X}",Applied sciences
209,Borel–Cantelli lemma,"{n, E, ∞}",Life sciences
210,Born–Mayer equation,"{A, E, π, M, ρ, N, r, e, ϵ, z}",Subfields of physics
211,Bose-Einstein statistics,"{q, V, n, N}",
212,Boundary-layer thickness#Momentum thickness,"{y, u, o}",
213,Bounded quantifier,"{ϕ, t, ∃, n}",Fields of mathematics
214,Boussinesq approximation,"{g, ∂, ρ, p, ∇, u, t, v, x, T, Δ, η}",
215,Boussinesq number,"{a, c, B, g, G, I, L, o, P, R, T, v, α, β, r, Δ}",
216,Box–Cox distribution,"{H, s, E, log}",Life sciences
217,Boyle temperature,"{a, R, b, T}",Branches of thermodynamics
218,Boyle's law,"{P, k, V}",Life sciences
219,Branch-decomposition,"{k, b}",Fields of mathematics
220,Branching quantifier,"{Q, x, n}",Branches of philosophy
221,Bray–Curtis dissimilarity,"{i, C, j, S, B}",Branches of biology
222,Breit equation,"{i, a, B, r, j}",Life sciences
223,Breusch–Pagan test,"{A, H, B}",Applied sciences
224,Brier score,"{B, f, o, N, S, t}",Life sciences
225,Brinell scale,"{P, π, d, D, BHN}",Life sciences
226,Brocard's conjecture,"{a, c, b, y, x, z}",Branches of philosophy
227,Bromley equation,"{A, b, log, I, β, γ}",Life sciences
228,Brownian motion,"{c, k, B, Δ, T}",
229,Buddhabrot,"{c, z, n}",Life sciences
230,Bulk Richardson number,"{B, g, v, N, θ, R, U, T, V, z, Δ}",Physical sciences
231,Bullet-nose curve,"{y, a, b, x}",Fields of mathematics
232,Bundle adjustment,"{c, L, ρ, P, s, γ}",Political science theories
233,Burgers' equation,"{y, x, ∂, t, d}",Life sciences
234,Burmester's theory,"{A, d, i, W, T, w}",Physical sciences
235,Bézier curve,"{P, B, t}",Life sciences
236,Bézout's identity,"{a, C, b, d, G, ∀, ∃, y, x, D}",Life sciences
237,C parity,"{C, ψ}",Subfields of physics
238,C0-semigroup,"{A, x, I, T, t}",Fields of mathematics
239,COSMO Solvation Model,"{q, ε, f}",Applied sciences
240,CT Value,"{C, ln, n, Λ, t, W, N}",Subfields of physics
241,CW complex,"{x, C, log, P}",Fields of mathematics
242,Caccioppoli set,"{a, B, i, j, p, Δ}",Fields of mathematics
243,Cache-oblivious matrix multiplication,"{a, c, b, i, k, j, m}",
244,Cake number,"{k, n}",Life sciences
245,Calabi conjecture,"{ϕ, d, ω}",Fields of mathematics
246,Calabi–Eckmann manifold,"{C, e, m, n, t, x, y, α, ∖}",Fields of mathematics
247,Calibration of radiocarbon dates,"{a, c, b, e, i, m, σ, l, o, p, s, t}",Subfields of physics
248,Camber,"{d, g, i, j, ♭, X, x}",
249,Camera matrix,"{y, x, C}",Applied sciences
250,Canonical coordinates,"{i, p, j, δ, q}",Life sciences
251,Cantor number,"{c, n}",
252,Cantor set,"{a, C, d, n}",
253,Capillary number,"{a, σ, C, μ, V}",Life sciences
254,Capillary pressure,"{p, c}",Physical sciences
255,Cardy formula,"{c, S, L, π}",Subfields of physics
256,Carhart four-factor model,"{i, K, j, m, π}",Life sciences
257,Carleman's inequality,"{a, ∞, e, n}",Fields of mathematics
258,Carlitz exponential,"{q, i, T}",Fields of mathematics
259,Carnot's theorem,"{H, C, T, η}",Fields of mathematics
260,Carol number,"{i, n}",Fields of mathematics
261,Cartesian oval,"{a, c, b, o, n, p, s, r, t, y, x}",Fields of mathematics
262,Cash accumulation equation,"{i, y, t, d, F}",Fields of mathematics
263,Catalan number,"{C, n}",Life sciences
264,Catalan's constant,"{β, n, G, ∞}",Fields of mathematics
265,Catalan's triangle,"{C, k, n}",Life sciences
266,Category utility,"{cos, n, θ, P, W, Y, X, sin}",Life sciences
267,Cauchy condensation test,"{∞, f, n}",Fields of mathematics
268,Cauchy distribution,"{x, γ, f, π}",Life sciences
269,Cauchy horizon,"{B, ν, v}",Life sciences
270,Cauchy principal value,"{a, c, b, d, f, x, ε}",Fields of mathematics
271,Cauchy stress tensor,"{i, j, σ, T, n}",Physical sciences
272,Cauchy–Riemann equations,"{y, x, ∂, u, v}",Categories by parameter
273,Cauchy–Schwarz inequality,"{u, v}",Fields of mathematics
274,Cavalieri's quadrature formula,"{a, x, d, n}",Physical sciences
275,Cavity optomechanics,"{m, ω}",Subfields of physics
276,Cellular algebra,"{A, λ, Λ, M, C}",Fields of mathematics
277,Center manifold,"{A, t, d}",Fields of mathematics
278,Central binomial coefficient,{n},Fields of mathematics
279,Central limit theorem for directional statistics,"{C, e, i, m, n, θ, S, R, E, z}",Fields of mathematics
280,Cesàro mean,"{i, a, c, s, n}",Fields of mathematics
281,Chandrasekhar limit,"{c, ω, G, i, m, ℏ, M, l, π, μ, t}",Subfields of physics
282,Change of rings,"{S, R, f}",Fields of mathematics
283,Change of variables,"{S, ∂, t, V}",Fields of mathematics
284,Channel reliability,"{a, C, h, o, s, R, T}",Applied sciences
285,Channel surface,"{x, c, Φ, f}",Life sciences
286,Chaos computing,"{x, r, n}",Applied sciences
287,Charge invariance,"{c, γ, v}",Subfields of physics
288,Charles's law,"{y, p, V, T, n}",Life sciences
289,Chazy equation,"{y, x, d}",Fields of mathematics
290,Chebotarev's density theorem,"{c, e, i, m, l, o, p, s, t, y}",Fields of mathematics
291,Chebychev–Grübler–Kutzbach criterion,"{f, i, j, M, n, N}",Subfields of physics
292,Chebyshev function,"{p, log, ϑ, x}",Fields of mathematics
293,Chebyshev rational functions,"{e, d, f, n, R, T, x}",Fields of mathematics
294,Chemical reaction model,"{J, i, ∂, ∇, S, R, ρ, v, Y, t}",Physical sciences
295,Chemisorption,"{H, S, Δ, T, G}",Physical sciences
296,Chen model,"{d, σ, θ, r, t, W, α}",Fields of mathematics
297,Chern–Weil homomorphism,"{H, C, M, G, g}",Fields of mathematics
298,Chi-square distribution,"{d, i, N, q, χ, Z}",
299,Chladni's law,"{p, C, f, m, n}",Subfields of physics
300,Chloridometer,"{C, l, n, s, u, t}",Life sciences
301,Choked flow,"{p, k}",Professional studies
302,Chomsky–Schützenberger enumeration theorem,"{a, x, k, f, ∞}",Fields of mathematics
303,Chowla–Mordell theorem,"{χ, a, ζ, G}",Cyclotomic fields
304,Chromatic adaptation,"{c, S, D, T, f}",Political science theories
305,Chézy formula,"{i, C, R, v}",Physical sciences
306,Circle criterion,"{A, x, B, w}",Applied sciences
307,Circular-arc graph,"{I, C, n}",Fields of mathematics
308,Circumgon,"{A, B, G}",Life sciences
309,Class membership probabilities,"{y, x, f}",
310,Classical Hamiltonian quaternions,"{q, S, V}",Fields of mathematics
311,Classical nucleation theory,"{B, G, k, j, N, S, R, T, exp, Z, Δ}",Categories by parameter
312,Classification of electromagnetic fields,"{a, λ, r, b, F}",Fields of mathematics
313,Clausius theorem,"{Q, δ, T}",Life sciences
314,Clearing the neighbourhood,"{a, k, Λ, m}",Physical sciences
315,Clebsch–Gordan coefficients,"{Q, C, B, s}",Fields of mathematics
316,Clenshaw algorithm,"{a, k, n, S, x, ϕ}",Applied sciences
317,Clifton-Pohl torus,"{y, x, d, g}",
318,Closed graph theorem,"{y, x, Y, T, X}",Fields of mathematics
319,Closeness,"{A, p, d}",
320,Coble creep,"{D, C, b, e, d, g, σ, l, o, Q, R, t, ϵ, T}",Applied sciences
321,Cochran's C test,"{i, C, j, S, N}",Applied sciences
322,Cochrane–Orcutt estimation,"{t, α, y, X, β, ε}",Applied sciences
323,Cocks IBE scheme,"{Δ, ∂, u, Ω, f}",Sociological theories
324,Cocurvature,"{Y, P, R, Id, X}",Fields of mathematics
325,Coefficient of determination,"{y, i, n}",Auxiliary sciences of history
326,Coefficient of restitution,"{k, s, F}",Physical sciences
327,Coefficient of variation,"{σ, c, μ, v}",Auxiliary sciences of history
328,Coercive function,"{x, ∞, f}",Fields of mathematics
329,Cofibration,"{i, A, X}",Fields of mathematics
330,Cogeneration,"{i, h, o, n, Q, u, t, W, η}",Environmental studies
331,Cohen-Daubechies-Feauveau wavelet,"{A, Q, X}",Applied sciences
332,Coherence time,"{τ, c, λ, Δ, ν}",Fields of mathematics
333,Coherent states,"{a, α}",Subfields of physics
334,Coherent states in mathematical physics,"{d, I, H, ν, X, x}",Fields of mathematics
335,Cohomotopy group,"{lim, k, Σ, S, π, p, s, X}",Fields of mathematics
336,Cole–Cole equation,"{y, k, σ, d}",Electric and magnetic fields in matter
337,Collateralized mortgage obligation,{%},Professional studies
338,Collision theory,"{a, E, k, ρ, R, T, exp, Z}",Physical sciences
339,Collocation,"{θ, e, f}",Humanities
340,Collocation method,"{y, t, f}",Fields of mathematics
341,Colpitts oscillator,"{C, f, L, π}",Life sciences
342,Comb filter,"{p, C, Σ, K, π}",Professional studies
343,Combinant,"{X, M, log, G, t}",Life sciences
344,Combinatorial species,"{B, F}",Fields of mathematics
345,Combined gas law,"{P, k, T, V}",Life sciences
346,Commensurate line circuit,"{tan, k, ω}",Subfields of physics
347,Common-mode rejection,"{A, c, d, m, o, V}",
348,Commutant lifting theorem,"{H, n, P, S, R, U, T, ∀}",Fields of mathematics
349,Comodule,"{C, M, ρ}",Fields of mathematics
350,Comoving distance,"{χ, a, c, e, t}",Life sciences
351,Compact closed category,"{A, d, i, ρ, λ, α, ε, η}",Fields of mathematics
352,Compact convergence,"{Y, X, n, f, N}",Fields of mathematics
353,Comparison of topologies,{τ},Fields of mathematics
354,Compartmental modelling of dendrites,"{a, c, b, e, f, i, h, m, l, o, n, p, s, r, t, V}",Fields of mathematics
355,Compartmental models in epidemiology,"{d, I, N, S, t, β}",Auxiliary sciences of history
356,Competitiveness,"{I, C, T}",Social sciences
357,Complete quotient,"{c, γ, k, T, V}",Fields of mathematics
358,Completely multiplicative function,"{δ, D, n}",Fields of mathematics
359,Complex beam parameter,"{z, i, π, q, λ, w, R, n}",Subfields of physics
360,Complex cobordism,"{x, C, E, P, ∞}",Fields of mathematics
361,Complex normal distribution,"{c, d, i, k, j, m, P}",Life sciences
362,Complex space,"{a, p, k}",
363,Complex squaring map,"{z, n}",Life sciences
364,Complexification,"{C, G, o, R, V, Γ}",Fields of mathematics
365,Compression theorem,"{C, f, i, φ, Φ, R, ∞, x, ∀}",Life sciences
366,Compton wavelength,"{h, c, λ, m}",Subfields of physics
367,Computational formula for the variance,"{Var, X, E}",
368,Computational indistinguishability,"{A, E, D, n, x, δ}",Formal sciences
369,Computer representation of surfaces,"{x, u, v}",Subfields of physics
370,Concentration inequality,"{a, X, Φ}",Fields of mathematics
371,Conditional probability,"{A, P, B}",Auxiliary sciences of history
372,Conductance,"{a, i, S, j, φ}",
373,Conference graph,{v},Fields of mathematics
374,Configural frequency analysis,"{c, e, i, m, n, p}",Auxiliary sciences of history
375,Conformal gravity,"{a, c, b, d, g, C, S, x}",Theories of gravitation
376,Conformational entropy,"{i, Σ, l, n, p, S, R}",Branches of biology
377,Congruence coefficient,"{y, x, f}",Auxiliary sciences of history
378,Congruence lattice problem,"{x, F, ∞, n}",Fields of mathematics
379,Conjugate index,"{q, p}",Fields of mathematics
380,Conjugated system,"{E, ℏ, m, L, π, n}",Physical sciences
381,Conjunction introduction,"{Q, P}",Fields of mathematics
382,Connection form,"{α, k, e, ξ}",Fields of mathematics
383,Conoid,{r},Life sciences
384,Consensus theorem,"{y, x, z}",Fields of mathematics
385,Constant factor rule in integration,"{y, x, d}",Physical sciences
386,Content,{x},
387,Continued fraction factorization,"{k, Z, n}",Sociological theories
388,Continuous Ranked Probability Score,"{C, H, m, N, P, V, y, n}",
389,Continuous knapsack problem,"{i, x, W}",Fields of mathematics
390,Continuous-wave radar,"{c, v, r, t, f}",Fields of mathematics
391,Contract curve,"{x, u}",Life sciences
392,Contraposition,"{¬, A, B}",Fields of mathematics
393,Controllability,"{A, x, B, u, t}",Applied sciences
394,Controlled NOT gate,{CNOT},Subfields of physics
395,Convergent matrix,"{A, k, ∞}",Fields of mathematics
396,Convex combination,"{x, α, n}",Duality theories
397,Convex metric space,"{y, x, z, d}",Fields of mathematics
398,Convolution,"{e, d, g, f, τ, t, ∞}",Fields of mathematics
399,Convolution power,"{x, δ, n}",Fields of mathematics
400,Conway group,"{E, g, f, i, N, x}",Fields of mathematics
401,Cooley–Tukey FFT algorithm,"{e, i, π, k, N, X, x, n}",Articles with example code
402,Cooling flow,"{a, e, d, m, n, s, r, t, y, x}",Extragalactic astronomy
403,Coordinate rotations and reflections,"{a, χ, ζ, G}",Fields of history
404,Cophenetic correlation,"{χ, ϕ, ψ}",Fields of mathematics
405,Coplanarity,{x},Fields of mathematics
406,Correlated equilibrium,"{Ω, ω, i, q, s, u, ϕ}",Fields of mathematics
407,Correlation swap,"{ρ, N}",Society
408,Cosmic censorship hypothesis,"{ℏ, E, ω}",Political science theories
409,Cosmic neutrino background,"{σ, T, g}",Fields of mathematics
410,Cost-of-living index,"{p, C, u, K, P}",Applied sciences
411,Couette flow,"{y, x, f, V}",Physical sciences
412,Coulomb's law,"{e, F, k, π, q, r, ε}",Subfields of physics
413,Coupon collector's problem,"{L, q, p, u, T, W, X}",Fields of mathematics
414,Courant–Friedrichs–Lewy condition,"{Δ, x, C, u, t}",Fields of mathematics
415,Cousin prime,{B},Fields of mathematics
416,Covering problem of Rado,"{I, X, S, F}",Life sciences
417,Cramér's theorem,"{X, k, N, n}",Fields of mathematics
418,Cramér–Rao bound,"{p, S}",Auxiliary sciences of history
419,Craps principle,"{P, E}",Auxiliary sciences of history
420,Critical heat flux,"{q, h, T, w, f}",Subfields of physics
421,Critical ionization velocity,"{e, i, v, m, o, n, V}",Subfields of physics
422,Critical speed,"{g, ω, i, n, w, y}",Subfields of physics
423,Critical state soil mechanics,"{∂, q, p, s, ν, ε}",Applied sciences
424,Critical variable,"{e, G, K, R, T, Δ}",Subfields of physics
425,Cross Gramian,"{A, C, B, e, d, t, W, ∞, X}",Fields of mathematics
426,Cross-ratio,"{A, C, B, D}",Fields of mathematics
427,Crosswind kite power,"{A, a, C, D, L, ρ, P, V}",Applied sciences
428,Crowther Criterion,"{π, m, D, d}",
429,Crystal momentum,"{p, ℏ, k}",Subfields of physics
430,Cuckoo search,"{x, s, E, t}",Life sciences
431,Current algebra,"{a, c, b, f, i, ρ, y, x, δ}",Fields of mathematics
432,Curve sketching,"{a, x, y}",Life sciences
433,Curve25519,"{y, x}",Fields of mathematics
434,Customer lifetime value,"{i, r, d, n}",Applied sciences
