,formula_label,symbol_set,subject
74,Andronov–Pontryagin criterion,"{), (, v, x, ˙, =}",Life sciences
75,Angular aperture,"{a, D, f, ), (, /, arctan, ⁡, =}",Life sciences
76,Anisotropy,"{Ω, ∫, ), d, ⋅, i, (, ,, n, P, v, γ, =, ^}",Life sciences
77,Annual percentage yield,"{A, ), i, (, +, N, P, Y, −, =}",Humanities
78,Antenna factor,"{A, =, V, E, F}",Physical sciences
79,Antenna gain-to-noise-temperature,"{∫, e, d, G, f, ), φ, =, ,, /, π, θ, r, T, ⁡, <, (, [, ], sin, >}",Physical sciences
80,Apollonius point,"{a, c, b, ), (, +, −, :}",Life sciences
81,Apollonius' theorem,"{A, C, B, D, ), (, +, =}",Life sciences
83,Apply,"{), (, ], →, Y, [, Z, ×}",Life sciences
84,Apéry's constant,"{), (, n, ∞, ∑, =, ζ}",Life sciences
85,Archimedean circle,"{), (, ρ, r, −, =}",Life sciences
86,Archimedes' quadruplets,"{⋅, r}",Life sciences
89,Arf invariant of a knot,"{g, i, (, ,, ), v, ∑, −, =, mod}",Life sciences
90,Arg max,"{a, ⊆, ∈, g, f, ), ∀, ∣, =, m, ∧, S, r, (, x, y, X, {, }, ≤}",Life sciences
91,Arithmetic coding,"{), log, i, (, p, ⁡, ∑, −, =}",Applied sciences
92,Arithmetic–geometric mean,"{s, =, +, ,}",Life sciences
93,Arnold tongue,"{Ω, −, ), (, K, ⁡, n, θ, +, π, =, sin}",Life sciences
94,Arnold–Givental conjecture,"{∩, b, ), H, k, ≥, L, n, (, φ, ∑, ;, Z, =, |}",Life sciences
95,Arrhenius equation,"{a, A, E, ), (, k, /, R, T, e, −, =}",Physical sciences
96,Arterial resistivity index,"{a, e, d, i, l, o, I, s, R, t, v, y, −, =}",Applied sciences
97,Arthur–Selberg trace formula,"{∈, ∫, γ, d, G, f, ), (, ∑, R, −, y, x, ϕ, Γ, =, ∖}",Life sciences
98,Artinian ring,"{A, a, ↦, →, I, (, k, ⋯, ,, ), ⊕, …, y, +}",Life sciences
99,Artin–Mazur zeta function,"{f, ), (, ⁡, n, exp, ∞, ∑, z, =, ζ}",Life sciences
100,Artin–Schreier curve,"{f, ), (, p, y, x, −, =}",Life sciences
101,Associate family,"{c, d, ), φ, k, =, ∫, ,, (, ℜ, x, {, z, }, +, ζ}",Life sciences
102,Asymptotic gain model,"{G, ), (, +, T, ∞, =}",Physical sciences
103,Asymptotic theory,"{A, C, B, ), (, /, y, x, −, =, |}",Life sciences
104,Atkinson–Stiglitz theorem,"{), (, +, j, L, ,, q, T, w, ∑, x, −, =, t}",Society
105,Atkin–Lehner theory,"{a, ∈, c, b, d, ), (, Z, =, }, N, {, Γ, ≡, ,, mod}",Life sciences
106,Atom probe,"{e, F, ∇, n, ϕ, =}",Applied sciences
107,"Atomic, molecular, and optical physics","{k, n, =, L, π}",Physical sciences
108,Autocatalysis,"{A, B, ⇌, +, τ, σ, T, α, β}",Physical sciences
109,Autocorrelation,"{cos, ), (, m, ,, ρ, n, R, ⁡, ϕ, Z, =}",Life sciences
111,Automatic basis function construction,"{+, P, r, v, γ, =}",Applied sciences
112,Autonomous consumption,"{c, d, +, C, Y, =}",Society
113,Avogadro's law,"{=, k, V, ∝, n}",Life sciences
114,Axial multipole moments,"{C, E, ), ∀, (, ↔, x}",Physical sciences
115,Axiom of extensionality,"{A, ∈, B, ), ∀, ⟺, ⇒, (, X, =}",Life sciences
116,Axiom of pairing,"{A, ∨, C, B, D, ∈, ), ∀, ∃, =, ⟺, (, [, ]}",Life sciences
117,Axiom schema of replacement,"{A, ∈, B, ), ∀, ∃, …, ,, ∧, n, ⇔, (, w, φ, x, [, ]}",Life sciences
118,Azuma's inequality,"{c, k, ,, <, X, −, |}",Life sciences
119,BCMP network,"{D, ), (, L, N, s, =}",Applied sciences
121,BEST theorem,"{⁡, ∈, ∏, G, ), (, v, ec, t, w, V, −, =, deg}",Life sciences
122,BET theory,"{c, ), (, +, =, m, ,, /, p, v, [, −, ]}",Environmental studies
123,Ba space,"{∈, B, f, ), }, Σ, N, μ, (, {, =}",Life sciences
125,Background field method,"{B, ), (, +, x, ϕ, =, η}",Physical sciences
126,Balance wheel,"{I, κ, =, T, π}",Applied sciences
127,Balanced budget,"{c, G, I, (, +, ), T, Y, −, =}",Applied sciences
128,Balanced prime,"{p, +, −, =, n}",Life sciences
129,Balian–Low theorem,"{a, b, e, g, i, (, m, ,, π, ), −, x, n, =}",Life sciences
130,Banach manifold,"{∩, ), ∘, i, φ, j, →, U, (, −}",Life sciences
131,Banach–Alaoglu theorem,"{⟨, ⟩, ), (, +, ,, ρ, n, ∑, ∞, y, x, −, =, |}",Life sciences
132,Banach–Mazur compactum,"{∈, −, log, ), }, =, ∥, ,, (, T, ⁡, Y, X, {, GL, δ, inf}",Life sciences
133,Bapat–Beg theorem,"{a, ⟩, c, b, e, d, g, f, h, +, ψ, =, |}",Life sciences
134,Barcan formula,"{→, ∀, ◻, x, F}",Life sciences
135,Bark scale,"{⋅, =, e, g, F}",Life sciences
136,Barnett effect,"{ω, χ, M, /, γ, =}",Physical sciences
137,Barotropic vorticity equation,"{η, =, D, t}",Life sciences
138,Barratt–Priddy theorem,"{≅, ), H, k, Σ, ,, n, S, (}",Life sciences
139,Barth–Nieto quintic,"{x, +, =}",Life sciences
140,Bartlett's bisection theorem,"{c, E, I, o, Z, =}",Physical sciences
142,Batchelor vortex,"{h, b, e, t, ∗}",Life sciences
143,Bateman polynomials,"{F, ), (, +, x, −, =}",Life sciences
144,Baum–Sweet sequence,"{!, ⋅, ), (, +, o, n, s, λ, t, α, =}",Life sciences
145,Baum–Welch algorithm,"{a, A, ), i, (, j, P, t, =, X, {, −, }, |}",Applied sciences
146,Bayes factor,"{Pr, D, ), (, M, =, |}",Auxiliary sciences of history
147,Bayes' theorem,"{A, B, ), (, P, =, |}",Life sciences
148,Bayesian average,"{C, i, +, ¯, m, n, ∑, x, =}",Auxiliary sciences of history
149,Bayesian hierarchical modeling,"{), (, ∣, ,, θ, P, y, =}",Auxiliary sciences of history
150,Bayesian inference,"{⋅, E, ), H, ∣, P, (, =}",Auxiliary sciences of history
151,Bayesian tool for methylation analysis,"{A, C, ∏, f, ), (, +, m, c, ,, p, r, ν, ∑, ϕ, −, =, ∣}",Auxiliary sciences of history
153,Beam propagation method,"{◻, G, ), H, ≥, (, γ}",Applied sciences
154,Beatty sequence,"{B, …, ), (, ≥, ,, n, r, ⌋, ⌊, =}",Life sciences
155,Beilinson regulator,"{D, →, ), H, K, ≥, ,, n, Q, p, ⊕, (, X, −}",Life sciences
156,Bejan number,"{B, e, g, P, =, +, L, n, p, S, ′, μ, T, ˙, Δ, ,, ν}",Physical sciences
157,Bell number,"{×, =}",Life sciences
158,Bellard's formula,"{−, ), (, +, n, ∞, ∑, π, =}",Humanities
159,Belleville washer,"{g, i, k, n, ∑, =, K}",Professional studies
160,Bending stiffness,"{p, K, =, w}",Professional studies
161,Benford's law,"{log, ), (, +, P, ⁡, −, =, d}",Life sciences
162,Bennett's inequality,"{), i, (, σ, n, ∑, ⁡, Var, X, =}",Life sciences
163,Bernoulli distribution,"{Pr, ), (, ., q, p, X, −, =}",Life sciences
164,Bernoulli's principle,"{g, +, ρ, p, v, z, =}",Life sciences
165,Bernstein polynomial,"{b, ), (, ,, n, ν, …, x, −, =}",Life sciences
166,Bessel filter,"{ω, ), H, /, n, θ, s, (, =}",Life sciences
167,Bessel's correction,"{), (, ¯, ,, n, …, x, −}",Life sciences
168,Bessel's inequality,"{⟨, ⟩, e, k, ∥, ,, |, ∞, ∑, x, =, ≤}",Life sciences
169,Beta prime distribution,"{B, f, ), (, +, ,, α, x, β, −, =}",Life sciences
170,Better-quasi-ordering,"{A, ⊆, B, g, ω, f, ), (, ≤, ∈, ′, X, [, ], ∗}",Life sciences
171,Betti's theorem,"{=, ∗}",Professional studies
172,Beurling–Lax theorem,"{C, D, ), H, ,, θ, (}",Life sciences
173,Bevan point,"{cos, −, ), (, +, :, ⁡, α, β, γ}",Life sciences
174,Bhabha scattering,"{→, +, −, e}",Life sciences
175,Bhatia–Davis inequality,"{), m, ≤, M, μ, (, −}",Auxiliary sciences of history
176,Biaxial nematic,"{γ, ), (, p, T, −, =}",Life sciences
177,Bicoherence,"{B, F, ), (, +, f, ,, =, ∗}",Life sciences
178,Bicubic interpolation,"{a, ), i, (, j, ,, p, y, x, =, ∑}",Applied sciences
180,Bilinear filtering,"{′, ↦, f, ), (, +, p, r, t, −}",Physical sciences
181,Bimonster group,"{B, i, M, ≀, Z, =}",Life sciences
182,Binary octahedral group,"{i, (, k, j, ,, ), ±, {, }}",Life sciences
183,Binary tetrahedral group,"{i, (, k, j, ,, ), ±, {, }}",Life sciences
184,Binet–Cauchy identity,"{e, d, f, v, r, w, V, Γ, =}",Life sciences
185,Binomial series,"{!, x, ), (, k, ⋯, ∞, ∑, α, −, =, +}",Life sciences
186,Binomial sum variance inequality,"{−, ), (, ¯, n, p, s, ⁡, Var, Z, =}",Life sciences
187,Birks' Law,"{B, E, d, k, L, x, =, +}",Life sciences
188,Birnbaum–Orlicz space,"{∫, log, f, ), (, +, ⁡, n, R, ∞, |, x, <, d}",Life sciences
189,Bishop–Gromov inequality,"{c, i, (, K, ≥, n, ), R, −}",Life sciences
190,Bismut connection,"{Γ, +, S, T, α, β, γ}",Life sciences
191,Bispherical coordinates,"{a, cos, −, τ, σ, ,, cosh, sinh, ⁡, y, x, ϕ, z, =, sin}",Life sciences
192,Bivector,"{a, c, b, ), (, =}",Life sciences
193,Black's equation,"{A, e, F, ), (, k, j, M, n, Q, T, =}",Applied sciences
194,Black–Derman–Toy model,"{′, d, ], ln, (, +, σ, θ, ), r, t, W, ⁡, [, =}",Professional studies
196,Blahut–Arimoto algorithm,"{), (, +, p, t, ∑, x, =, |, ^}",Life sciences
197,Blake number,"{B, D, ), h, ρ, μ, (, u, ϵ, −, =}",Life sciences
198,Bland–Altman plot,"{), (, +, ,, S, y, x, −, =}",Life sciences
199,Blaschke product,"{a, ), (, n, ∞, ∑, −, <, |}",Life sciences
200,Bloch equations,"{B, d, ×, ), (, M, t, −, x, γ, =, T}",Life sciences
201,Bloch wave,"{⋅, e, ψ, i, (, k, ), r, u, =}",Physical sciences
202,Bloom filter,"{−, m}",Applied sciences
204,Bohr compactification,"{b, G, ), h, o, →, r, (, B}",Life sciences
205,Bolometric correction,"{C, B, M, l, o, b, V, −, =}",Life sciences
207,Boltzmann constant,"{k, R, =, N}",Life sciences
208,Bond valence method,"{), (, v, V, ∑, =}",Physical sciences
209,Bondareva–Shapley theorem,"{∈, ), (, ≤, ∅, N, S, v, ∑, α, {, }, ∖}",Life sciences
210,Bondy's theorem,"{), X, k, |, (}",Life sciences
211,Bony–Brezis theorem,"{a, C, b, ), (, ≤, ., X, −, |}",Life sciences
212,Boolean satisfiability algorithm heuristics,"{min, ∈, f, i, H, K, V, ∥, ,, ), (, ℓ, arg, y, x, γ, =, +, ∑}",Life sciences
214,Borel right process,"{E, f, i, =, ≤, j, ,, o, n, r, ≠, …, Y, X, [, ]}",Applied sciences
215,Borel–Cantelli lemma,"{Pr, E, ), (, n, ∞, ∑, =, <}",Life sciences
216,Born–Mayer equation,"{A, −, E, ), π, +, M, ρ, N, r, (, e, ϵ, z, =}",Physical sciences
219,Bounded quantifier,"{), (, ∃, ∧, n, ⇔, t, ϕ, <}",Life sciences
222,Box–Cox distribution,"{E, log, H, +, =, s, ⁡, {, }}",Life sciences
223,Boyle temperature,"{a, =, R, b, T}",Physical sciences
224,Boyle's law,"{P, k, =, ∝, V}",Life sciences
225,Branch-decomposition,"{b, k, ⌋, ⌊, −, ≤}",Life sciences
226,Branching quantifier,"{⟨, ⟩, n, Q, …, x}",Life sciences
227,Bray–Curtis dissimilarity,"{C, B, i, +, j, S, −, =}",Life sciences
228,Breit equation,"{a, ⋅, B, i, =, +, j, ), r, (, [, −, ], ^}",Life sciences
229,Breusch–Pagan test,"{A, H, B, =, ′}",Applied sciences
230,Brier score,"{B, f, ), (, o, N, S, t, ∑, −, =}",Life sciences
231,Brinell scale,"{d, BHN, ), (, π, P, −, =, D}",Life sciences
232,Brocard's conjecture,"{a, c, b, +, −, y, x, z, =}",Life sciences
233,Bromley equation,"{A, b, log, I, +, /, ±, ⁡, −, β, γ, =}",Life sciences
235,Buddhabrot,"{c, z, =, +, n}",Life sciences
236,Bulk Richardson number,"{B, g, ), (, +, v, /, N, θ, R, U, T, =, V, z, Δ}",Physical sciences
237,Bullet-nose curve,"{a, b, y, x, −, =}",Life sciences
238,Bundle adjustment,"{c, L, ρ, P, s, γ, =}",Society
239,Burgers' equation,"{d, +, ∂, t, y, x, =}",Life sciences
240,Burmester's theory,"{A, d, i, =, +, ,, W, T, w, …, [, ]}",Physical sciences
241,Bézier curve,"{B, ), (, ≤, P, t, −, =, +}",Life sciences
242,Bézout's identity,"{a, ⋅, C, b, d, G, ), ∀, ∃, ,, (, y, x, :, =, +, D}",Life sciences
243,C parity,"{⟩, C, ψ, ¯, =, |}",Physical sciences
244,C0-semigroup,"{A, I, (, ↓, ), T, lim, x, −, =, t}",Life sciences
245,COSMO Solvation Model,"{f, ), (, q, =, ε, ∗}",Applied sciences
246,CT Value,"{C, ln, (, n, ), Λ, t, W, ⁡, N, =}",Physical sciences
247,CW complex,"{C, log, ), (, ≥, ,, P, ⁡, x}",Life sciences
248,Caccioppoli set,"{a, B, ), i, (, j, ,, p, =, Δ}",Life sciences
250,Cake number,"{!, ), (, k, n, −, =}",Life sciences
251,Calabi conjecture,"{ϕ, ′, d, ω, +}",Life sciences
252,Calabi–Eckmann manifold,"{∈, C, e, ×, ), (, m, ,, n, t, x, y, α, =, |, ∖}",Life sciences
253,Calibration of radiocarbon dates,"{a, c, b, e, ), i, m, +, σ, l, o, p, s, t, (, =}",Physical sciences
255,Camera matrix,"{y, x, C, ∼}",Applied sciences
256,Canonical coordinates,"{i, }, j, ,, q, p, =, {, δ}",Life sciences
259,Capillary number,"{a, C, σ, μ, V, =}",Life sciences
260,Capillary pressure,"{p, c, −, =}",Physical sciences
261,Cardy formula,"{c, ), (, L, π, S, −, =}",Physical sciences
262,Carhart four-factor model,"{i, K, j, m, π, ∑, =}",Life sciences
263,Carleman's inequality,"{a, e, ), (, ≤, ⋯, /, n, ∞, ∑, =}",Life sciences
264,Carlitz exponential,"{i, =, ,, q, T, [, −, ]}",Life sciences
265,Carnot's theorem,"{C, H, T, −, =, η}",Life sciences
266,Carol number,"{i, +, ≠, n, ∑, −}",Life sciences
267,Cartesian oval,"{a, c, b, ), (, +, o, n, p, s, r, t, y, x, −, =}",Life sciences
268,Cash accumulation equation,"{d, F, i, +, t, y, =}",Life sciences
269,Catalan number,"{C, ), (, +, n, =}",Life sciences
270,Catalan's constant,"{G, ), (, +, ⋯, n, ∞, ∑, β, −, =}",Life sciences
271,Catalan's triangle,"{!, C, ), (, k, ,, n, −, =, +}",Life sciences
272,Category utility,"{cos, +, n, θ, P, W, ⁡, Y, X, =, sin}",Life sciences
273,Cauchy condensation test,"{f, ), (, +, n, ∞, ∑, =, ≤}",Life sciences
274,Cauchy distribution,"{−, f, ), (, +, ], ,, π, x, ;, γ, =, [}",Life sciences
275,Cauchy horizon,"{B, +, ∝, ν, v, −}",Life sciences
276,Cauchy principal value,"{a, c, b, d, f, ), (, +, ∫, →, lim, x, [, −, ], ε}",Life sciences
277,Cauchy stress tensor,"{⋅, i, (, j, σ, n, ), T, ., =}",Physical sciences
278,Cauchy–Riemann equations,"{∂, u, v, y, x, −, =}",Categories by parameter
279,Cauchy–Schwarz inequality,"{⟨, ⟩, ⋅, ≤, ,, u, v, |}",Life sciences
280,Cavalieri's quadrature formula,"{a, ∫, d, +, ≥, n, x, =}",Physical sciences
281,Cavity optomechanics,"{=, ′, m, ±, ω}",Physical sciences
282,Cayley–Purser algorithm,"{−, (, =, ×, )}",Applied sciences
283,Cellular algebra,"{A, ∈, C, Λ, ⋃, ), (, M, →, λ, ˙, ×}",Life sciences
284,Center manifold,"{A, d, ), (, ,, t, =, ∗}",Life sciences
285,Central binomial coefficient,"{!, ), (, ≥, n, =}",Life sciences
286,Central limit theorem for directional statistics,"{C, e, i, (, +, m, n, θ, ), S, R, E, z, =}",Life sciences
287,Cesàro mean,"{a, c, i, ,, n, s, ∑, =}",Life sciences
288,Chandrasekhar limit,"{c, ω, G, i, m, ℏ, M, l, /, π, ), μ, t, (, =}",Physical sciences
289,Change of rings,"{!, ⇆, f, S, R, ∗}",Life sciences
290,Change of variables,"{+, ∂, S, t, V, −, =}",Life sciences
291,Channel reliability,"{a, C, ), h, o, s, R, T, (, −, =}",Applied sciences
292,Channel surface,"{∈, c, f, ), (, =, ,, Φ, x, [, ]}",Life sciences
293,Chaos computing,"{), (, +, n, r, x, −, =}",Applied sciences
294,Charge invariance,"{c, −, ), (, v, γ, =}",Physical sciences
295,Charles's law,"{n, p, ∝, T, V, y, =}",Life sciences
296,Chazy equation,"{d, ), (, y, x, −, =}",Life sciences
297,Chebotarev's density theorem,"{c, ), e, i, (, +, m, l, o, p, s, t, y, ;, −, =}",Life sciences
298,Chebychev–Grübler–Kutzbach criterion,"{−, f, i, (, +, j, M, n, ), ∑, N, =}",Physical sciences
299,Chebyshev function,"{log, ), (, ≤, p, ⁡, ∑, x, =, ϑ}",Life sciences
300,Chebyshev rational functions,"{e, d, f, ), (, +, n, R, T, x, −, =}",Life sciences
301,Chemical reaction model,"{⋅, J, →, i, (, +, ∂, ∇, ), S, R, ρ, v, Y, −, =, t}",Physical sciences
302,Chemisorption,"{G, H, =, S, T, −, Δ}",Physical sciences
303,Chen model,"{d, ), (, +, σ, θ, r, t, W, α, −, =}",Life sciences
304,Chern–Weil homomorphism,"{C, g, G, ), H, M, ,, →, (, [, ], ∗}",Life sciences
306,Chladni's law,"{C, f, ), (, +, m, n, p, =}",Physical sciences
307,Chloridometer,"{C, ), =, l, n, s, u, t, (, −, ×}",Life sciences
308,Choked flow,"{), (, k, p, −, =, +, ∗}",Professional studies
309,Chomsky–Schützenberger enumeration theorem,"{a, f, ), (, k, ⋯, ∞, ∑, x, =, +}",Life sciences
310,Chowla–Mordell theorem,"{a, G, χ, (, ), ∑, =, ζ}",Life sciences
311,Chromatic adaptation,"{c, ′, D, f, S, T, =}",Society
312,Chézy formula,"{i, C, R, =, v}",Physical sciences
313,Circle criterion,"{A, B, +, w, x, ˙, =}",Applied sciences
314,Circular-arc graph,"{C, ⊂, I, ,, n, …}",Life sciences
315,Circumgon,"{A, B, G, ), (, /, ., =}",Life sciences
317,Classical Hamiltonian quaternions,"{), (, +, q, S, V, =}",Life sciences
318,Classical nucleation theory,"{B, G, ), (, k, j, N, S, R, =, T, exp, ⁡, −, Z, Δ, ∗}",Categories by parameter
319,Classification of electromagnetic fields,"{a, b, F, λ, r, =}",Life sciences
320,Clausius theorem,"{Q, ≤, δ, T, ⁡}",Life sciences
321,Clearing the neighbourhood,"{a, =, k, Λ, m}",Physical sciences
322,Clebsch–Gordan coefficients,"{C, B, +, Q, s, =}",Life sciences
323,Clenshaw algorithm,"{a, ), (, k, n, S, ∑, x, ϕ, =}",Applied sciences
325,Closed graph theorem,"{∈, ), (, ∣, =, ,, Y, }, T, X, y, x, {, ×}",Life sciences
327,Coble creep,"{D, C, b, e, d, g, σ, l, o, Q, R, t, ϵ, −, =, /, T}",Applied sciences
328,Cochran's C test,"{C, i, j, N, S, ∑, =}",Applied sciences
329,Cochrane–Orcutt estimation,"{+, ,, t, α, y, X, β, =, ε}",Applied sciences
331,Cocurvature,"{), =, ¯, ,, P, R, (, Y, X, [, −, ], Id}",Life sciences
332,Coefficient of determination,"{i, ¯, n, ∑, y, =}",Auxiliary sciences of history
333,Coefficient of restitution,"{k, =, s, F}",Physical sciences
334,Coefficient of variation,"{σ, c, =, μ, v}",Auxiliary sciences of history
335,Coercive function,"{⋅, f, ), (, +, ∥, →, ∞, x}",Life sciences
336,Cofibration,"{i, A, →, :, X}",Life sciences
337,Cogeneration,"{i, h, o, n, Q, u, t, W, ≡, η}",Environmental studies
338,Cohen-Daubechies-Feauveau wavelet,"{A, ), (, +, Q, X, −, =}",Applied sciences
339,Coherence time,"{c, ≈, =, τ, λ, ν, Δ}",Life sciences
340,Coherent states,"{a, ⟩, α, =, |, ^}",Physical sciences
341,Coherent states in mathematical physics,"{⟨, ⟩, ∫, d, I, H, ), ν, X, (, x, =, |}",Life sciences
342,Cohomotopy group,"{→, ), lim, k, Σ, ], S, +, π, p, s, (, ⁡, X, [, =, ,}",Life sciences
343,Cole–Cole equation,"{d, k, σ, y, =, +}",Physical sciences
344,Collateralized mortgage obligation,"{×, +, %}",Professional studies
345,Collision theory,"{a, −, E, ), (, k, ρ, R, T, exp, ⁡, Z, =}",Physical sciences
346,Collocation,"{′, e, f, ), (, θ, −, =}",Humanities
347,Collocation method,"{′, f, ), (, ,, t, y, =}",Life sciences
348,Colpitts oscillator,"{C, f, ), (, +, L, π, =}",Life sciences
349,Comb filter,"{C, ¯, →, +, Σ, π, p, −, K}",Professional studies
350,Combinant,"{log, G, ), (, +, M, t, ⁡, X, =}",Life sciences
351,Combinatorial species,"{:, →, ;, B, F}",Life sciences
352,Combined gas law,"{P, k, =, T, V}",Life sciences
353,Commensurate line circuit,"{ω, ), (, k, →, ⁡, tan}",Physical sciences
355,Commutant lifting theorem,"{H, ≥, n, P, S, R, U, T, ∀, =, |}",Life sciences
356,Comodule,"{C, M, ρ, ⊗, →, :}",Life sciences
357,Comoving distance,"{a, c, ′, e, χ, (, ∫, ), t, =}",Life sciences
358,Compact closed category,"{A, d, ∘, i, (, ,, ρ, ⊗, ), λ, α, −, =, ε, ∗, η}",Life sciences
359,Compact convergence,"{∈, f, ,, n, →, Y, X, N}",Life sciences
360,Comparison of topologies,"{⊆, τ}",Life sciences
361,Compartmental modelling of dendrites,"{a, c, b, e, f, i, h, m, l, o, n, p, s, r, t, V}",Life sciences
362,Compartmental models in epidemiology,"{d, I, N, S, t, β, −, =}",Auxiliary sciences of history
364,Complete quotient,"{c, −, ), (, k, /, T, V, γ, =}",Life sciences
365,Completely multiplicative function,"{D, ), (, =, n, −, δ}",Life sciences
366,Complex beam parameter,"{z, i, (, π, q, ), λ, w, −, R, n, =}",Physical sciences
367,Complex cobordism,"{C, E, ), (, ], P, ∞, x, [, =, ∗}",Life sciences
368,Complex normal distribution,"{c, ), d, i, (, k, j, m, ,, ≤, ≡, P, +}",Life sciences
370,Complex squaring map,"{+, z, =, n}",Life sciences
371,Complexification,"{C, G, }, o, ⊗, →, R, V, {, Γ, =}",Life sciences
372,Compression theorem,"{∈, C, f, i, φ, ≤, =, }, Φ, ), R, (, ∞, x, {, ∀, |}",Life sciences
373,Compton wavelength,"{c, h, m, ,, λ, =}",Physical sciences
376,Computer representation of surfaces,"{), (, ,, u, v, x, =}",Physical sciences
